"","Model","Metric","Selectivity","B0","B40","OFL","ABC"
"1","mod0","MSE","Average",0.00108487297242857,0.000173577380142857,0.00612709022362311,0.00453701358205717
"2","mod0","MSE","Projected",0.00108487297242857,0.000173577380142857,0.00612709022362311,0.00453701358205717
"3","mod0","RE","Average",0.0397392488241454,0.0397386005939022,0.232008343814827,0.23213827518236
"4","mod0","RE","Projected",0.0397392488241454,0.0397386005939022,0.232008343814827,0.23213827518236
"5","mod1","MSE","Average",0.00128139405928571,0.000205023591142857,0.00853194663875454,0.00637133289175554
"6","mod1","MSE","Projected",0.00128139405928571,0.000205023591142857,0.00880501515427989,0.00655372560737027
"7","mod1","RE","Average",0.0383595463941736,0.0383588166470338,0.248895047778995,0.250645845108911
"8","mod1","RE","Projected",0.0383595463941736,0.0383588166470338,0.248051828209027,0.248962154686883
"9","mod2","MSE","Average",0.00105672064157143,0.000169074346142857,0.00614220047006834,0.00454382874912243
"10","mod2","MSE","Projected",0.00105672064157143,0.000169074346142857,0.00614220047006834,0.00454382874912243
"11","mod2","RE","Average",0.0378486023496024,0.0378483648607026,0.230098404854932,0.230100417278428
"12","mod2","RE","Projected",0.0378486023496024,0.0378483648607026,0.230098404854932,0.230100417278428
"13","mod3","MSE","Average",0.00108487297242857,0.000173577380142857,0.00612709022362311,0.00453701358205717
"14","mod3","MSE","Projected",0.00108487297242857,0.000173577380142857,0.00612709022362311,0.00453701358205717
"15","mod3","RE","Average",0.0397392488241454,0.0397386005939022,0.232008343814827,0.23213827518236
"16","mod3","RE","Projected",0.0397392488241454,0.0397386005939022,0.232008343814827,0.23213827518236
"17","mod4","MSE","Average",0.001351778222,0.000216283798857143,0.00943758152023093,0.00704334235333487
"18","mod4","MSE","Projected",0.001351778222,0.000216283798857143,0.00948705258458421,0.00708552570322651
"19","mod4","RE","Average",0.0394404095253526,0.0394403539279646,0.275755956787509,0.27495301163667
"20","mod4","RE","Projected",0.0394404095253526,0.0394403539279646,0.278169270448288,0.27766092790124
"21","mod5","MSE","Average",0.00109157093285714,0.000174651308714285,0.00579794852289241,0.0042770738886339
"22","mod5","MSE","Projected",0.00109157093285714,0.000174651308714285,0.00579794852289241,0.0042770738886339
"23","mod5","RE","Average",0.0398687152057511,0.0398689786355133,0.232730197440757,0.232902228316059
"24","mod5","RE","Projected",0.0398687152057511,0.0398689786355133,0.232730197440757,0.232902228316059
"25","mod6","MSE","Average",0.00120580429071429,0.000192932075857143,0.00742983190676119,0.00547251701283605
"26","mod6","MSE","Projected",0.00120580429071429,0.000192932075857143,0.00742533329113938,0.0054667328326581
"27","mod6","RE","Average",0.0380324989302988,0.0380328079836112,0.245698666116312,0.247010704097839
"28","mod6","RE","Projected",0.0380324989302988,0.0380328079836112,0.244317919865113,0.245347101407144
"29","mod7","MSE","Average",0.00114120627828572,0.000182596655428571,0.00836120009422067,0.0062369784830633
"30","mod7","MSE","Projected",0.00114120627828572,0.000182596655428571,0.00823543208617123,0.00615210546816418
"31","mod7","RE","Average",0.0336845388750394,0.0336834641231113,0.252895044622911,0.253358318374302
"32","mod7","RE","Projected",0.0336845388750394,0.0336834641231113,0.248509600331208,0.249187417242192
"33","mod8","MSE","Average",0.00104399042614286,0.000167039187285714,0.0103512471594013,0.00765984986691973
"34","mod8","MSE","Projected",0.00104399042614286,0.000167039187285714,0.00943577921856904,0.00704077968865425
"35","mod8","RE","Average",0.0287107627223433,0.0287103348107472,0.288030716707438,0.286585657337458
"36","mod8","RE","Projected",0.0287107627223433,0.0287103348107472,0.267951617429889,0.267818072533217
