"","Peel0","Peel1","Peel2","Peel3","Peel4","Peel5","Peel6","Peel7","Model"
"1",1342.05536111804,1167.31599808854,1109.75183049895,1066.67435287754,1009.22721064023,946.07074602451,856.564809194733,775.628931289238,"mod0"
"2",1575.91891094641,1392.98474129279,1330.35551084134,1285.44710303563,1219.45629746327,1154.69446943131,1064.40773775363,987.238618959138,"mod1"
"3",1661.52640796733,1481.41770593821,1419.35415921275,1372.91961754034,1309.75252302158,1241.01596000257,1146.20078445694,1056.43874935906,"mod2"
"4",1667.06136299259,1486.78741372174,1423.68865989297,1375.07659603238,1312.09486755591,1243.40381670102,1148.36329363206,1061.89282948736,"mod3"
"5",1655.23593415695,1473.19092378766,1408.50411736659,1360.90510839397,1296.38197493934,1227.33374842042,1132.33529817344,1042.53411261964,"mod4"
"6",1608.85291996975,1428.87206674429,1367.04382878845,1322.71403333205,1260.379972452,1192.91015814982,1097.44238223447,1005.82544948027,"mod5"
"7",1622.23826581184,1443.89350954551,1381.56628747139,1333.61485817575,1269.04335166387,1203.6499699402,1111.13981777822,1023.13920276522,"mod6"
"8",1585.92119450926,1401.99422137085,1338.13488489555,1292.70702772069,1228.73467136074,1164.74879524449,1074.94269530037,993.544493032499,"mod7"
"9",1574.6984144211,1390.80582486239,1326.20313940299,1281.38688152782,1219.17439667698,1155.82033543328,1066.42927957877,985.782329736155,"mod8"
